,Date,AAPL.O,GLD,GM,IVV,SHY.O,SP500
165,2018/5/24,-0.001115508,0.008532128,0.014166029,-0.001818182,0.000600492,-0.002025252
166,2018/5/25,0.002282803,-0.003079419,-0.002347113,-0.002806482,0.000840084,-0.002360028
167,2018/5/29,-0.003612414,-0.000162338,-0.024314094,-0.011194626,0.002874942,-0.011631584
168,2018/5/30,-0.002131061,0.001460091,0.011966637,0.013272909,-0.001196888,0.012615912
169,2018/5/31,-0.003365657,-0.002190937,0.121096482,-0.006651099,-0.000479157,-0.006903337
170,2018/6/1,0.017873245,-0.004967639,0.011641575,0.010214221,-0.000762692,0.010790764
171,2018/6/4,0.00832313,-0.000980152,0.013336597,0.004634835,-0.000840992,0.004469595
172,2018/6/5,0.007685555,0.003914857,-0.008487263,0.000902739,0.000600781,0.000702371
173,2018/6/6,0.003459943,0.000569638,0.011907629,0.008553511,-0.000360425,0.008530883
174,2018/6/7,-0.002684288,-0.000488242,0.010416761,-0.000644353,0.000960846,-0.000714451
175,2018/6/8,-0.009139123,0.001220157,0.005438491,0.002789203,-0.000240125,0.003121061
176,2018/6/11,-0.002454758,0.001786875,0.013468217,0.001676925,-0.000360295,0.001068148
177,2018/6/12,0.005475751,-0.003332659,-0.015051391,0.001353759,-0.000480596,0.001741832
178,2018/6/13,-0.00825113,0.00300801,0.006092764,-0.003459286,-0.000480827,-0.004034177
179,2018/6/14,0.000524246,0.001541145,-0.019996122,0.00281826,0.000360642,0.002468462
180,2018/6/15,-0.010325663,-0.016672501,0.007773244,-0.001425974,0.000480654,-0.001017592
181,2018/6/18,-0.000529689,-0.001897299,0.00091054,-0.002178533,0.00024024,-0.002128423
182,2018/6/19,-0.01629179,-0.002562938,-0.039211612,-0.003689314,0.000360252,-0.00403155
183,2018/6/20,0.004352622,-0.00448022,-0.007362579,0.002079152,-0.000480365,0.001710697
184,2018/6/21,-0.005592014,-0.001747743,-0.019983812,-0.006935364,0.00060042,-0.006365708
185,2018/6/22,-0.002915926,0.002412747,0.003156492,0.002053278,0.000120041,0.001860249
186,2018/6/25,-0.014982982,-0.003746414,-0.015636771,-0.013732349,0.000360036,-0.013819791
187,2018/6/26,0.012329671,-0.005268672,0.009801598,0.002373001,0,0.002202154
188,2018/6/27,-0.001465043,-0.005718145,-0.015729005,-0.008630399,0.000599772,-0.008641521
189,2018/6/28,0.007249937,-0.003040543,0.003708745,0.00625071,0,0.006159615
190,2018/6/29,-0.002104639,0.003630687,-0.028029863,0.000842692,-0.000239866,0.000758094
191,2018/7/2,0.011120478,-0.010080133,0.002534856,0.002816028,-0.000121442,0.003063318
192,2018/7/3,-0.01756984,0.010080133,-0.013508553,-0.003988661,0.000360382,-0.004959633
193,2018/7/5,0.008014773,0.00336559,0.01274877,0.008543316,-0.000120113,0.008583807
194,2018/7/6,0.013766722,-0.001597243,-0.007885072,0.007749731,0.000240211,0.008445532
195,2018/7/9,0.013789678,0.002436874,0.014954023,0.00933546,-0.000600637,0.008784344
196,2018/7/10,-0.001207571,-0.001848119,0.008517086,0.003638703,-0.000120171,0.00346719
197,2018/7/11,-0.013061022,-0.010905971,-0.019902408,-0.007470056,0.000360469,-0.007119462
198,2018/7/12,0.016627023,0.004156599,-0.00076365,0.008573318,-0.000120142,0.008710985
199,2018/7/13,0.001569202,-0.004411647,0.002289204,0.001030983,0.000240269,0.001078649
200,2018/7/16,-0.002197573,-0.000510291,0.005068435,-0.000355391,-0.000240269,-0.001028619
201,2018/7/17,0.002824565,-0.010862699,0.011810666,0.004043993,-0.00018024,0.003965783
202,2018/7/18,-0.005499556,0.000257965,-0.004005012,0.002192518,-6.01E-05,0.002158158
203,2018/7/19,0.007743054,-0.004308123,-0.014145222,-0.004141526,0.000480596,-0.003960782
204,2018/7/20,-0.002295733,0.006455245,0.002286877,-0.001064698,0,-0.000948929
205,2018/7/23,0.000887613,-0.004815971,-0.003304948,0.001844757,-0.000600781,0.001836397
206,2018/7/24,0.007228133,0.000344768,0.005333346,0.004985073,0.000120185,0.004769547
207,2018/7/25,0.009385866,0.005500186,-0.04746126,0.009232509,-0.000360599,0.009060376
208,2018/7/26,-0.003136008,-0.007829681,-0.024194729,-0.003465359,0,-0.003036858
209,2018/7/27,-0.016771337,0.000518135,0.021002387,-0.006437451,0.000120214,-0.00658388
210,2018/7/30,-0.005618435,-0.00155521,0.003723409,-0.005627039,0,-0.0057708
211,2018/7/31,0.001998949,0.002935592,0.006350908,0.005344672,0,0.004872858
212,2018/8/1,0.057240157,-0.007355201,-0.020520374,-0.001413028,9.73E-05,-0.001040917
213,2018/8/2,0.028811697,-0.005399299,-0.014100017,0.00476099,0.000601793,0.004914398
214,2018/8/3,0.002888923,0.003486754,0.029860995,0.004633376,0.000120315,0.004633387
215,2018/8/6,0.005179122,-0.005147231,-0.003451484,0.003844814,0.000240587,0.003532051
216,2018/8/7,-0.009419071,0.002271537,-0.000532056,0.002856548,-0.000360902,0.002820185
217,2018/8/8,0.000675741,0.002788673,0.002126529,-0.000347923,0.000120315,-0.000262414
218,2018/8/9,0.00783413,-0.001480514,-0.003990959,-0.000905166,0.000601359,-0.001442759
219,2018/8/10,-0.002972625,-0.000435863,-0.024832585,-0.007130653,0.000961423,-0.007139295
